id,title,desc,text,link,img,category
biz1,Kelly J. Bullis: Stopping fraud in your business,It's one of the oldest frustrations of every business owner. Employees stealing from you. It is frustrating and costly. The employees who commit the crime are ...,Kelly J. Bullis: Stopping fraud in your business It's one of the oldest frustrations of every business owner. Employees stealing from you. It is frustrating and costly. The employees who commit the crime are ...,news.google.com/./articles/CBMiWmh0dHBzOi8vd3d3Lm5ldmFkYWFwcGVhbC5jb20vbmV3cy8yMDIxL2Fwci8wMy9rZWxseS1qLWJ1bGxpcy1zdG9wcGluZy1mcmF1ZC15b3VyLWJ1c2luZXNzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/0gDF4GFeLEg7uGhrEc68WF_oLfdwJASa01Igxn0c8pYgb4DMqXpccblZNRNu1VN9mYwVSpAk2fVSkS0yE0uC6_ygKCqT6kOK-xqz8Qu1YvBsGRj8dHktYtELB7dDTuS3mblVHtXH1dUOdkLCBjxB2BDeP_Nai6UE-f7XDSWsxz62V8AaCazojlAzTcUCbPT903_Yuq7GjsoK-5uh6Xxl7K2e=-p-df-h100-w100,business
biz2,Video Producer Focuses On Long Beach Small Businesses,"In 2020, life went online. Between 2019 and 2020, phone usage jumped from three hours to four hours per day, according to App Annie. For work and ...","Video Producer Focuses On Long Beach Small Businesses In 2020, life went online. Between 2019 and 2020, phone usage jumped from three hours to four hours per day, according to App Annie. For work and ...",news.google.com/./articles/CBMijgFodHRwczovL3d3dy5nYXpldHRlcy5jb20vbmV3cy9idXNpbmVzcy92aWRlby1wcm9kdWNlci1mb2N1c2VzLW9uLWxvbmctYmVhY2gtc21hbGwtYnVzaW5lc3Nlcy9hcnRpY2xlX2ExZGQwNmQyLTkwZmMtMTFlYi1iZmJmLTQ3ODUzZmVlYzgwNi5odG1s0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/wor7jfITiAdWMR9SCwOwWJtraJP-lgK42Vd_hBHsIt44OFdqH1JeWBBHU7FjIp1ndAs_zzeq16ZYXF77iGqoL5kua1vhNPdIvmNeCnoSrsfheGNO69XHENgkVlqXVmX2JiStJzgl1xgbEWSGfpjwpCiRdZi83Ljz1GBTWANg9PWdNHDr8sJuOpMX_eOnVQplWhBqwW6YVAV2a_MHedHl0upzLQsFMtUxrlNv1KvERXTiYs2knFcp2vqmML_z6RpqvyzLQvb4B71uQA=-p-df-h100-w100,business
biz3,Dominion's Tom Farrell dies one day after leaving chairmanship,"Thomas F. Farrell II, the longtime chairman, president and CEO of Dominion Energy Inc., died Friday, one day after ending his tenure as the Richmond-based ...","Dominion's Tom Farrell dies one day after leaving chairmanship Thomas F. Farrell II, the longtime chairman, president and CEO of Dominion Energy Inc., died Friday, one day after ending his tenure as the Richmond-based ...",news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LnZpcmdpbmlhYnVzaW5lc3MuY29tL2FydGljbGUvdG9tLWZhcnJlbGwtZGllcy1vbmUtZGF5LWFmdGVyLXJldGlyaW5nLWZyb20tZG9taW5pb24v0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh5.googleusercontent.com/proxy/L5VqeKCGFa-p8QrsTk40bAC05zGW1_DEUke5B-6QTcwd8q3MyZa4BXPpV-n0xXacQkOnhKs_ml3Ui67FHqCiOPoqOa_WOqzmGJduybw1Nx_qckrWN8spKRoKdF0IiYWp12dJQWb95hOeb9Hha5gi8cqLcdmr0nADxBFYsfNdAUZiFWB-f2DBaHuGh5E3RKTNFoL2SREvR5janayL=-p-df-h100-w100,business
biz4,Personal View: Small businesses play a huge part in economic growth,"Normal is not good enough. We need to plan for growth, and small businesses play an integral role in Greater Cleveland's economic prosperity. They are local ...","Personal View: Small businesses play a huge part in economic growth Normal is not good enough. We need to plan for growth, and small businesses play an integral role in Greater Cleveland's economic prosperity. They are local ...",news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LmNyYWluc2NsZXZlbGFuZC5jb20vb3Bpbmlvbi9wZXJzb25hbC12aWV3LXNtYWxsLWJ1c2luZXNzZXMtcGxheS1odWdlLXBhcnQtZWNvbm9taWMtZ3Jvd3Ro0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/p39yntPvB5VO2zfBpbFIkoZ38iw-nRzU_bGBSr77UhFB0f-eZTmH7nIyHIRWa2j1Qi6Fct74yK43DRCPK-qh_7lvvw5kO0Y-6E5HuiAHRJI6x8nwsGaRfCBqGHHxqe2ZsmkUDrQq1zIzCARdS8g=-p-df-h100-w100,business
biz5,Kraus Development buys Seaford business park for $1.7M,Kraus Development of Baltimore bought the complex from Penco Corporation owner Kent Peterson for $1.7 million.,Kraus Development buys Seaford business park for $1.7M Kraus Development of Baltimore bought the complex from Penco Corporation owner Kent Peterson for $1.7 million.,news.google.com/./articles/CBMiPmh0dHBzOi8vZGVsYXdhcmVidXNpbmVzc3RpbWVzLmNvbS9uZXdzL2tyYXVzLWRldmVsb3BtZW50LWJ1eXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh5.googleusercontent.com/proxy/XsyO3IKV8ba4-EgU1hn553tDMxtHs8-tJLsgTLvD5BLbiEYrKuL8QiHptMClrup0voeOgXbudJ8cTd7Quh_bn7SvJPq17OQe7UPdrJonIiCyqoWy9pKGSDMqWiFfY5BUyePhGjr3-kY6vIJJSUStl-Ee0e7cTuSGwC1VxtWNF21EvuJ0IB6bLsVZ=-p-df-h100-w100,business
biz6,Marin business survey finds dire pandemic outlook,"More than a third of Marin County business owners polled in a recent survey said they have dipped into personal savings, racked up credit card debt or ...","Marin business survey finds dire pandemic outlook More than a third of Marin County business owners polled in a recent survey said they have dipped into personal savings, racked up credit card debt or ...",news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3Lm1hcmluaWouY29tLzIwMjEvMDQvMDMvbWFyaW4tYnVzaW5lc3Mtc3VydmV5LWZpbmRzLWRpcmUtcGFuZGVtaWMtb3V0bG9vay_SAVlodHRwczovL3d3dy5tYXJpbmlqLmNvbS8yMDIxLzA0LzAzL21hcmluLWJ1c2luZXNzLXN1cnZleS1maW5kcy1kaXJlLXBhbmRlbWljLW91dGxvb2svYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/0c39ndAf673r-Dw_DkhF0-DaK2NZesksHz_ONwUwTaEMC6XX0KNenFB6B368bu-2f7da6xTSix2oMhAsxMBBTZSVapbb-VirT9o5Bm45vypk2aJs1CH3xO4IqUrN3yUTd6w8MrpToIY=-p-df-h100-w100,business
biz7,Business Intel: AmRhein's Bridals closes doors,"AmRhein's Bridals, which has served the Roanoke Valley since 1992, has closed.","Business Intel: AmRhein's Bridals closes doors AmRhein's Bridals, which has served the Roanoke Valley since 1992, has closed.",news.google.com/./articles/CBMigQFodHRwczovL3JvYW5va2UuY29tL2J1c2luZXNzL2xvY2FsL2J1c2luZXNzLWludGVsLWFtcmhlaW5zLWJyaWRhbHMtY2xvc2VzLWRvb3JzL2FydGljbGVfODJjOWE1NTItOTFhMS0xMWViLWEyYWUtODcyYTY0ZTE1NjBlLmh0bWzSAYUBaHR0cHM6Ly9yb2Fub2tlLmNvbS9idXNpbmVzcy9sb2NhbC9idXNpbmVzcy1pbnRlbC1hbXJoZWlucy1icmlkYWxzLWNsb3Nlcy1kb29ycy9hcnRpY2xlXzgyYzlhNTUyLTkxYTEtMTFlYi1hMmFlLTg3MmE2NGUxNTYwZS5hbXAuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/Qy1x_ZV2oMCOZ87K05f2ppLr_B10rtQRBPyYyz9Vyp5A4QuSNNRLzuZhy1bO2SUgsxjwxl2AWe4A7psD3RBTIKsM4_QPpdRrxSAhCzntfysbJd-fJ9uC382D5nBPiwNoT9mVmV_nM5ed6gdVBPZVPZdy6PxxYJoQV0v2yka7nncDNmPvb7-cdu-y9Dhva6hVJFlG8HFu5_OMgiiJJWtTQHaL0Q856otJIjJwA9z1V_iXE5yay9_xQihRUd9nhMssYkQymSvu5qyM45Kuw1EyEMuMFA_Z10HUZOaN8IG9y1xQD6QHW6n4I-dyLmnZw_046rFR96k7rFX1YQ=-p-df-h100-w100,business
biz8,North Coast wine businesses seek relief from California wildfire insurance woes,"Hundreds of California wine producers face massive premium hikes, cancellations and nonrenewals in the aftermath of wildfires in recent years, and now they're ...","North Coast wine businesses seek relief from California wildfire insurance woes Hundreds of California wine producers face massive premium hikes, cancellations and nonrenewals in the aftermath of wildfires in recent years, and now they're ...",news.google.com/./articles/CBMihAFodHRwczovL3d3dy5ub3J0aGJheWJ1c2luZXNzam91cm5hbC5jb20vYXJ0aWNsZS9pbmR1c3RyeW5ld3Mvbm9ydGgtY29hc3Qtd2luZS1idXNpbmVzc2VzLXNlZWstcmVsaWVmLWZyb20tY2FsaWZvcm5pYS1pbnN1cmFuY2Utd29lcy_SAYgBaHR0cHM6Ly93d3cubm9ydGhiYXlidXNpbmVzc2pvdXJuYWwuY29tL2FydGljbGUvaW5kdXN0cnluZXdzL25vcnRoLWNvYXN0LXdpbmUtYnVzaW5lc3Nlcy1zZWVrLXJlbGllZi1mcm9tLWNhbGlmb3JuaWEtaW5zdXJhbmNlLXdvZXMvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/qPxca9WUwh3mqpe8q3CZF50VeTWemES7d0gKn4jXZtQRbOFCK8F5maaeFFUfjU7DzevGkL0BBA6wPfG5VqedZyDZJ_B4B26s2SmtHCcCTX1PAJYvBjMsaGeYAR9eCufH_QXuJD6NJu0ln1E0ZMPC0uOSXfxu-B4axi1tR3jyioLhw-4FO3_WwX2OztE=-p-df-h100-w100,business
biz9,Business begins to boom as more are vaccinated,"COLUMBIA, S.C. — With over 750,000 South Carolinians fully vaccinated, many are feeling more comfortable getting out and enjoying some sense of normalcy.","Business begins to boom as more are vaccinated COLUMBIA, S.C. — With over 750,000 South Carolinians fully vaccinated, many are feeling more comfortable getting out and enjoying some sense of normalcy.",news.google.com/./articles/CBMiiAFodHRwczovL3d3dy53bHR4LmNvbS9hcnRpY2xlL25ld3MvbG9jYWwvc291dGgtY2Fyb2xpbmEtYnVzaW5lc3MtcGlja2luZy11cC1vdmVyLWhvbGlkYXktd2Vla2VuZC8xMDEtZGUzNzlhM2QtYjQ0Ni00MDJjLThmZTctODYwNjE0MjJhNmJj0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/Z46DSGhpSEpLnbxxc3MKkHduUuGkK8Aw_UAs5fIBZ_ix_AhiaTM0T7gxZ7hrNCbMMwBayuCNd3NWqufvItckefqd3X0WHGKrh_ObjPP1_y4xHnjI0cJWz0UDjYZ76YQG-22NXIY6hmD39SG7JNDQdz4LS3wa2UWqAaHROzzknV6fgn6lg36MRb1Z6kf1N5krvH417gFOwu3K_QAPLg=-p-df-h100-w100,business
tech1,Bob van Dijk of Prosus on the Future of Technology,Illustration by The New York Times; photo by Noam Galai/Getty Images for Techcrunch,Bob van Dijk of Prosus on the Future of Technology Illustration by The New York Times; photo by Noam Galai/Getty Images for Techcrunch,news.google.com/./articles/CAIiEP0HRJW9c8CWwJzi3cyUbUAqFwgEKg8IACoHCAowjuuKAzCWrzwwt4QY?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tTDvE6ITK8GnQVXsEHScscyXjKcornTo61-rknlSxBdQmcL4hDCgXbT1EWrijoIIrqM-AxThqOlaU2_EpGGF=-p-df-h100-w100,technology
